,Max V (increase),Max V (decrease),Max D (increase),Max D (decrease),Min S+R (increase),Min S+R (decrease),Max Mphi (increase),Max Mphi (decrease),Max T (increase),Max T (decrease),Max Lu (increase),Max Lu (decreased),Max Fu (increased),Max Fu (decreased),Total Fu (increase),Total Fu (decrease)
rho,-2.21872800730827E-05,2.21881454232076E-05,0.0003802994418344860,-0.0003803034282580110,7.35142491969931E-06,-7.35231045301266E-06,-1.53227992241156E-05,1.53233544011311E-05,-2.42569977624285E-05,2.42580004305992E-05,-1.42181476758818E-05,1.42186412970258E-05,-2.9838946954408E-06,2.98391927588959E-06,1.44960673291727E-05,-1.44968766636611E-05
V0,0.011347858886699300,-0.011268162725856000,0.013352644066461100,-0.013197285895526800,-0.011281113206609300,0.011260822343858200,0.009010482566965020,-0.009003647098480670,0.009303780214000360,-0.009224486152216720,0.00827911368210188,-0.008277908208241700,0.001587950106222810,-0.0016053907097940400,0.0005826667256148000,-0.00044150943133414200
eps_F_I,0.004810555619094050,-0.005132686220023940,0.006286674395751260,-0.006689825892918,-0.004660919839582940,0.004971494278710910,0.0033012355043231500,-0.0035339021615529200,0.004595534029917750,-0.004900292636284550,0.0030535679001313400,-0.003270090758276110,0.0006383495026520690,-0.0006867921584947650,0.0007881192368133230,-0.0007995111785256140
eps_Gamma_I,0.003488733130509350,-0.0037947514046771100,0.004480648234278300,-0.0048641164630267600,-0.003426307143475690,0.00372718561257801,0.002471064437507890,-0.002692360254893280,0.0032523354632827400,-0.003536878290810180,0.0022832001201247300,-0.0024876425383737500,0.000469301344551587,-0.0005133877408197710,0.0005104454283335610,-0.00039983715267688500
del_V_MPhi,-3.94801671330658E-05,3.94839333677233E-05,-2.44934580684308E-06,2.44941228078055E-06,2.6042235132806E-06,-2.60422570474983E-06,-1.48437848860317E-05,1.48446579886219E-05,-1.89612639489578E-06,1.89617771617634E-06,-1.34652530439094E-05,1.34660223913841E-05,-1.71967254636307E-06,1.71972879892124E-06,-2.52135924827535E-06,2.52137559653143E-06
del_V_N,-0.054145722930669100,0.0595727044420058,-0.004089603253656150,0.004078294774743310,0.005207258757531360,-0.005167289489544700,-0.021773795779197000,0.022803170722751400,-0.0022186858269233100,0.0021154784294819000,-0.019783105227819900,0.02066894685611190,-0.002646167147668850,0.0026831660180965900,-0.0011211660205032700,0.0014505821396497700
d_V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phat,0.058330836981468100,-0.05812354404408040,0.003986824105313370,-0.004243872842077500,-0.004981525053195710,0.005413870271657070,0.023504668353139000,-0.024389734819525400,0.0021584643606904500,-0.002373811915855060,0.02127345738488230,-0.02213425065116360,0.002734228677011120,-0.0029322948381267400,0.0018169940024417300,-0.0014353837763813000
d_V_spec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0,0.03631328749747610,-0.0368915172907216,0.04644169755744330,-0.046416068490164800,-0.037923844189575500,0.03911085154183170,0.026009708814497000,-0.026916457110384900,0.0333169603645711,-0.03383053275156730,0.023981199774140600,-0.0248788398691564,0.004797174069160140,-0.005167935062668330,0.004565283662053780,-0.004999276482884900
lam_S,-0.003271635436496110,0.003375709943853830,-0.004522465166157510,0.004687790512191810,-0.007530573320498000,0.008320667195196970,-0.00204642363367713,0.0021034809312552300,-0.0034048569178303200,0.0035226839146582600,-0.0019010419204430500,0.001955576729450350,-0.00041811232007049600,0.00042876808515335300,-0.0006512008313205310,0.0006629249916003670
Smax,0.014930398632375000,-0.015731822674349700,0.021732814446271000,-0.022726180630234000,0.08996997944483170,-0.08864629829637270,0.0094496830079982,-0.010030076846264200,0.015464328109628300,-0.016311661146517500,0.008770833059315250,-0.0093175699309469,0.0018938192360444800,-0.002043939448865380,0.0028691198894199600,-0.003156530676568180
h_N,0.0008209990703105240,-0.0011399616898045700,-0.00012790177864241400,0.0001213290732260400,-0.0014263331456683100,0.001960874078398290,0.0004646058788948530,-0.0006456730534464270,0.0020797650942336900,-0.0028571012850758800,0.0004337066406758790,-0.0006027617323280940,9.78174818337951E-05,-0.00013605362317992100,0.0022223191532446700,-0.0030338792002713200
h_MPhi_alpha,-1.29252591007933E-06,1.30447178015025E-06,0.0003900627395407860,-0.00039626928055969100,6.03577718849557E-06,-6.109145212152E-06,-0.0009233688089624880,0.000932540023228734,0.000635109353643637,-0.000647622446198981,-0.0008418590158892900,0.0008518530528076610,-9.54453049604176E-05,9.62428560076223E-05,0.002437130005292780,-0.0024577617372869600
IC_50_N,0.00039986884684806200,-0.0004885956422544520,-0.00014386420886647300,0.00018155890026694300,-0.0007032349261728580,0.0008579119104079600,0.0002261249441064540,-0.00027636626543203800,0.0010259213635064300,-0.0012502882540107500,0.00021109791810181000,-0.0002580058546096660,4.76329801539777E-05,-5.82418470772561E-05,0.0011322033668741400,-0.0013784901978847200
del_N,-0.00014607318935944100,0.000146093927482438,5.44034192409004E-05,-5.35018403778897E-05,0.00025663280910870300,-0.0002566597020378090,-8.26155132770401E-05,8.26207754536235E-05,-0.00037426994536093900,0.0003745459377482160,-7.71263515411125E-05,7.71307330442728E-05,-1.74076291687975E-05,1.74062170665845E-05,-0.00041124227181355,0.0004152910989547730
beta,0.019313703201053700,-0.02001230519871970,0.018297710975480500,-0.018447326962753100,-0.016209823350080300,0.016815836323340400,0.01681926062215870,-0.01761469859462440,0.0123969088830429,-0.012590093130755200,0.015398151724453900,-0.01615447360679430,0.0028686448851627000,-0.0030687047707465,0.0004961326861947500,-0.00025306590543716600
tau_I,0.008527792647427870,-0.008535222351503840,0.011543986214845400,-0.011484807630057300,-0.008391871455019410,0.00839187442032241,0.005663136255891650,-0.00571069299846183,0.008449957275796780,-0.008434619743561410,0.00524600038262335,-0.005291707085713580,0.001105710374957660,-0.0011233722703469800,0.0013750221520372200,-0.0012185883877677800
